Date,Open,High,Low,Close,Adj Close,Volume
2017-06-27,18.500000,18.600000,17.950001,18.100000,18.100000,21897469
2017-06-28,18.000000,18.049999,17.600000,17.650000,17.650000,37852774
2017-06-29,17.850000,18.400000,17.450001,18.100000,18.100000,148854292
2017-06-30,18.150000,19.000000,18.000000,18.750000,18.750000,63704471
2017-07-03,18.850000,19.250000,18.750000,18.900000,18.900000,35641768
2017-07-04,19.049999,19.200001,18.549999,18.650000,18.650000,21443397
2017-07-05,18.700001,18.950001,18.450001,18.750000,18.750000,31213020
2017-07-06,18.750000,19.100000,18.650000,18.700001,18.700001,22064236
2017-07-07,18.700001,18.850000,18.450001,18.549999,18.549999,20442737
2017-07-10,18.650000,18.950001,18.600000,18.850000,18.850000,9020791
2017-07-11,18.850000,19.650000,18.650000,19.350000,19.350000,93019686
2017-07-12,19.400000,19.700001,19.000000,19.100000,19.100000,49334797
2017-07-13,19.250000,19.549999,19.000000,19.049999,19.049999,38231196
2017-07-14,19.200001,19.200001,18.799999,18.900000,18.900000,26351632
2017-07-17,19.049999,19.049999,18.750000,18.850000,18.850000,18095208
2017-07-18,18.700001,18.799999,18.250000,18.299999,18.299999,33962538
2017-07-19,18.400000,18.600000,18.200001,18.450001,18.450001,23730963
2017-07-20,18.500000,18.650000,18.400000,18.500000,18.500000,16964153
2017-07-21,18.600000,19.250000,18.450001,19.150000,19.150000,46685854
2017-07-24,19.250000,19.500000,18.850000,18.950001,18.950001,38098415
2017-07-25,19.000000,19.100000,18.799999,18.900000,18.900000,36198222
2017-07-26,19.150000,19.700001,19.049999,19.650000,19.650000,52336838
