Date,Open,High,Low,Close,Adj Close,Volume
2017-07-03,34.400002,34.950001,33.900002,34.799999,34.799999,304749
2017-07-04,34.099998,35.750000,34.099998,35.049999,35.049999,1091219
2017-07-05,35.049999,35.349998,34.799999,35.099998,35.099998,484395
2017-07-06,35.200001,35.650002,35.049999,35.150002,35.150002,282994
2017-07-07,35.200001,35.450001,34.750000,34.950001,34.950001,305478
2017-07-10,35.450001,35.950001,35.000000,35.599998,35.599998,1061397
2017-07-11,35.750000,36.000000,34.799999,34.950001,34.950001,271014
2017-07-12,35.049999,35.750000,34.650002,35.349998,35.349998,199144
2017-07-13,35.500000,35.500000,34.599998,34.849998,34.849998,330162
2017-07-14,34.599998,34.900002,33.900002,34.000000,34.000000,394760
2017-07-17,34.000000,34.099998,33.450001,33.549999,33.549999,353038
2017-07-18,33.250000,34.150002,32.849998,32.950001,32.950001,269162
2017-07-19,33.200001,33.849998,32.250000,32.500000,32.500000,501546
2017-07-20,32.500000,33.200001,32.500000,32.900002,32.900002,297211
2017-07-21,33.400002,33.400002,32.700001,32.799999,32.799999,391067
2017-07-24,33.000000,33.000000,32.549999,32.650002,32.650002,252451
2017-07-25,32.650002,33.500000,32.599998,33.250000,33.250000,545376
2017-07-26,33.250000,33.849998,33.200001,33.299999,33.299999,387243
2017-07-27,33.150002,33.700001,32.700001,32.900002,32.900002,243026
2017-07-28,32.750000,35.750000,32.700001,35.400002,35.400002,4711132
2017-07-31,36.000000,37.150002,35.750000,36.549999,36.549999,2263623
